model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,nr_states,nr_transitions,build_time,check_time,total_time,reach_a,reach_b,reach_consensus,reach_a_first,reach_b_first,reach_robust95_a,reach_robust95_b,reach_robust99_a,reach_robust99_b,exp_consensus_time,status,error
voter_contrarians,30,0,0,16,16,0.5333333333333333,35,40,1.05,0.95,255,1372,0.019625109999651613,0.021582430000307795,0.041305304000161414,0.9999999978025264,0.9999999990778249,0.9999999999999992,0.4986673369675092,0.5013326630324902,0.0,0.0,0.0,0.0,0.26271897860528787,ok,
crossinh_zealots,30,8,8,0,16,0.5333333333333333,35,40,1.05,0.95,120,420,0.019188629999916884,0.017851073000201723,0.03711312999985239,0.990095442508694,0.8570025161672957,0.9999999986067994,0.5866258522075589,0.4133741463992402,0.0,0.0,0.0,0.0,1.675359214014693,ok,
crossinh_contrarians,30,0,0,16,16,0.5333333333333333,35,40,1.05,0.95,2040,14044,0.026318389999687497,0.04351971699998103,0.06998209900029906,0.9999823727978971,0.9999849000568859,0.9999999999999992,0.4887188559024224,0.5112811440975771,0.0,0.0,0.0,0.0,0.3124422345238892,ok,
voter_zealots,30,9,9,0,18,0.6,35,40,1.05,0.95,13,24,0.016344071000276017,0.012980890999642725,0.029401193000012427,0.9999928818860222,0.9994608196252667,1.000000000000001,0.5523769849049209,0.4476230150950798,0.0,0.0,0.0,0.0,0.7436834280859964,ok,
voter_contrarians,30,0,0,18,18,0.6,35,40,1.05,0.95,247,1328,0.017334183000457415,0.015596299999742769,0.033008765999511525,0.9999999992635697,0.9999999999084258,1.0000000000000004,0.493057554095774,0.5069424459042255,0.0,0.0,0.0,0.0,0.25654148264220333,ok,
crossinh_zealots,30,9,9,0,18,0.6,35,40,1.05,0.95,91,312,0.017721359000461234,0.01917832199978875,0.036983148000217625,0.9939246550203596,0.9054377913269567,0.9999999992539665,0.5840447248191628,0.4159552744348037,0.0,0.0,0.0,0.0,1.7750978540602236,ok,
crossinh_contrarians,30,0,0,18,18,0.6,35,40,1.05,0.95,1729,11782,0.028026333000525483,0.039404604000083054,0.06756073599990486,0.9999988837682587,0.9999996631628258,1.0,0.48453245580560067,0.5154675441943994,0.0,0.0,0.0,0.0,0.27983283385287444,ok,
voter_zealots,50,0,0,0,0,0.0,35,40,1.05,0.95,51,100,0.01847284599989507,0.0171116780002194,0.03565001099923393,0.97575748461427,0.7226779599362166,0.9999999999999981,0.5745037220843664,0.4254962779156326,0.8293958017179,0.06113678708757842,0.7463541570605621,0.06113678708757842,0.3583851080970511,ok,
voter_contrarians,50,0,0,0,0,0.0,35,40,1.05,0.95,51,100,0.017068750000362343,0.012303524000344623,0.029452652000145463,0.97575748461427,0.7226779599362166,0.9999999999999981,0.5745037220843664,0.4254962779156326,0.8293958017179,0.06113678708757842,0.7463541570605621,0.06113678708757842,0.3583851080970511,ok,
crossinh_zealots,50,0,0,0,0,0.0,35,40,1.05,0.95,1325,4902,0.018997672000296006,0.04484487900026579,0.0639602700002797,0.738298613882021,0.32862076554598685,0.9999987586245994,0.6872696120188702,0.31272914660573015,0.7231214077724742,0.2770258949332468,0.723104360500256,0.2769103198600288,3.1899166280638114,ok,
