model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,reach_a,reach_a_ci_lo,reach_a_ci_hi,reach_b,reach_b_ci_lo,reach_b_ci_hi,reach_consensus,reach_consensus_ci_lo,reach_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,100,0,0,0,0,0.0,35,40,1.05,0.95,0.9473333333333334,0.9380788998475292,0.9552705931492246,0.010222222222222223,0.007017004075564273,0.014869591769023291,0.9575555555555556,0.9491172332124566,0.9646466048801,0.9944444444444445,0.9907730926174648,0.9966599038642924,0.6033333333333334,0.5844098005634148,0.621952600948503,1.0,0.9985277492512151,1.0,4500,0.99,0,4745080541530162608,13.424454897001851,ok,
voter_contrarians,100,0,0,0,0,0.0,35,40,1.05,0.95,0.954,0.9452659293793909,0.9613972669407124,0.008666666666666666,0.0057606824166089934,0.013019382652530345,0.9626666666666667,0.9546796160275044,0.9692913946129533,0.9953333333333333,0.9918892573244192,0.9973188996004511,0.5966666666666667,0.5777008112717245,0.6153478869168437,1.0,0.9985277492512151,1.0,4500,0.99,0,11974748127884531610,13.866023492999375,ok,
crossinh_zealots,100,0,0,0,0,0.0,35,40,1.05,0.95,0.8055555555555556,0.7899132837603235,0.8202981185598635,0.19444444444444445,0.17970188144013657,0.21008671623967642,1.0,0.9985277492512151,1.0,0.8066666666666666,0.7910557065626904,0.821374646311388,0.2,0.18508735346137783,0.21579599698789315,1.0,0.9985277492512151,1.0,4500,0.99,0,6191136198138646566,5.989671154005919,ok,
crossinh_contrarians,100,0,0,0,0,0.0,35,40,1.05,0.95,0.8064444444444444,0.7908272067024983,0.8211593560608018,0.19355555555555556,0.17884064393919816,0.20917279329750157,1.0,0.9985277492512151,1.0,0.8073333333333333,0.7917412522025684,0.8220204710038452,0.20022222222222222,0.1853028692768212,0.21602427128322804,1.0,0.9985277492512151,1.0,4500,0.99,0,16294506107895041339,6.096836696000537,ok,
voter_zealots,100,5,5,0,10,0.1,35,40,1.05,0.95,0.32555555555555554,0.3078310916833775,0.343793671355643,0.0,0.0,0.0014722507487849438,0.32555555555555554,0.3078310916833775,0.343793671355643,1.0,0.9985277492512151,1.0,0.7533333333333333,0.7364159981642909,0.7695047281229913,1.0,0.9985277492512151,1.0,4500,0.99,0,11546718024902017248,39.772686181997415,ok,
voter_contrarians,100,0,0,10,10,0.1,35,40,1.05,0.95,0.009777777777777778,0.006655619096369406,0.014343396526661521,0.0,0.0,0.0014722507487849438,0.009777777777777778,0.006655619096369406,0.014343396526661521,0.9997777777777778,0.998110049781248,0.9999739093591887,0.9315555555555556,0.9212107126822536,0.9406296824492396,1.0,0.9985277492512151,1.0,4500,0.99,0,6985216389350072183,58.561143323997385,ok,
crossinh_zealots,100,5,5,0,10,0.1,35,40,1.05,0.95,0.8355555555555556,0.8208300563522083,0.8492930109230518,0.16422222222222221,0.15049280137467777,0.178940341239284,0.9997777777777778,0.998110049781248,0.9999739093591887,0.8375555555555556,0.8228968135759344,0.8512203646963304,0.17733333333333334,0.1631452704627598,0.19247148868712274,0.9997777777777778,0.998110049781248,0.9999739093591887,4500,0.99,0,13893306619609559524,16.320198014000198,ok,
crossinh_contrarians,100,0,0,10,10,0.1,35,40,1.05,0.95,0.8262222222222222,0.8111949467456411,0.8402889358769293,0.16977777777777778,0.15585024105444248,0.18467765432897723,0.996,0.9927402000019526,0.9977993272552527,0.8322222222222222,0.8173871243238573,0.8460790912897278,0.21333333333333335,0.19803104980260988,0.22947970729336015,1.0,0.9985277492512151,1.0,4500,0.99,0,12050068464652946566,32.25869849200535,ok,
voter_zealots,100,10,10,0,20,0.2,35,40,1.05,0.95,0.018,0.013559181027733517,0.023860068694095165,0.0,0.0,0.0014722507487849438,0.018,0.013559181027733517,0.023860068694095165,1.0,0.9985277492512151,1.0,0.886,0.8732240838092986,0.8976393386126393,1.0,0.9985277492512151,1.0,4500,0.99,0,13366413202141889070,41.071182814004715,ok,
voter_contrarians,100,0,0,20,20,0.2,35,40,1.05,0.95,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,0.0,0.0,0.0014722507487849438,1.0,0.9985277492512151,1.0,0.9953333333333333,0.9918892573244192,0.9973188996004511,1.0,0.9985277492512151,1.0,4500,0.99,0,6530226739632877157,61.69581741800357,ok,
