model,N,Za,Zb,C,disruptor_count,disruptor_fraction,t,h,qa,qb,simulation_horizon,stable_a_successes,stable_a,stable_a_ci_lo,stable_a_ci_hi,stable_b_successes,stable_b,stable_b_ci_lo,stable_b_ci_hi,stable_consensus_successes,stable_consensus,stable_consensus_ci_lo,stable_consensus_ci_hi,episodes,confidence,base_seed,config_seed,total_time,status,error
voter_zealots,100,10,10,0,20,0.2,35,20,1.05,0.95,115,920,0.20444444444444446,0.1893990601890205,0.2203600924758168,0,0.0,0.0,0.0014722507487849438,920,0.20444444444444446,0.1893990601890205,0.2203600924758168,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,100,10,10,0,20,0.2,35,30,1.05,0.95,115,250,0.05555555555555555,0.047396497308240984,0.0650232811351234,0,0.0,0.0,0.0014722507487849438,250,0.05555555555555555,0.047396497308240984,0.0650232811351234,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,100,10,10,0,20,0.2,35,40,1.05,0.95,115,64,0.014222222222222223,0.010338237819426482,0.019536580019170805,0,0.0,0.0,0.0014722507487849438,64,0.014222222222222223,0.010338237819426482,0.019536580019170805,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,100,10,10,0,20,0.2,35,60,1.05,0.95,115,4,0.0008888888888888889,0.0002644927114541086,0.0029829184804441066,0,0.0,0.0,0.0014722507487849438,4,0.0008888888888888889,0.0002644927114541086,0.0029829184804441066,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,100,10,10,0,20,0.2,35,80,1.05,0.95,115,0,0.0,0.0,0.0014722507487849438,0,0.0,0.0,0.0014722507487849438,0,0.0,0.0,0.0014722507487849438,4500,0.99,0,6874711657434007413,107.14998752000974,ok,
voter_zealots,1000,0,0,0,0,0.0,35,0,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,24,0.005333333333333333,0.0031736128081501207,0.008949600599314449,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,0,0,0,0,0.0,35,5,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,0,0,0,0,0.0,35,10,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,0,0,0,0,0.0,35,20,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
voter_zealots,1000,0,0,0,0,0.0,35,30,1.05,0.95,115,4500,1.0,0.9985277492512151,1.0,0,0.0,0.0,0.0014722507487849438,4500,1.0,0.9985277492512151,1.0,4500,0.99,0,14400384585677524734,254.22708527898067,ok,
